Provincia di vendita,N. Reg. , Prodotto fitosanitario venduto*,"Quantità 
(Kg o litri)"
PD,12048,TIOSOL 80 WG,1080
PD,12068,,3020
PD,12068,TEFLUSTAR,2200
PD,12090,,990
PD,12096,,4845
PD,12096,POLTIGLIA DISPERSS,9680
PD,12106,,12
PD,12106,TALENDO,133
PD,12114,,1
PD,12114,AUXIGER LG,31
PD,12117,ENIFUL,7
PD,12133,,3
PD,12133,JUVINAL GOLD,29
PD,12170,,75
PD,12170,HELIOCUIVRE,640
PD,12172,FERRAMOL,41
PD,12225,,7.06
PD,12225,TEPPEKI,34.74
PD,12235,,1.8
PD,12285,FORUM GOLD,219
PD,12319,KRONOS,45
PD,12344,VEBITHRIN 5 EC,1.4
PD,12361,,0.4
PD,12361,ALGEDI,31.6
PD,12375,SUGAR 500 SC,51
PD,12376,FITAGIL,4
PD,12381,,7
PD,12381,NU-FILM-P,49
PD,12395,,140
PD,12395,CUTRIL TOP,100
PD,12437,,197
PD,12437,DELAN 70 WG,223
PD,12452,,249
PD,12452,EQUIP,385
PD,12453,,45
PD,12453,MILDICUT,254
PD,12461,FINALSAN ERBICIDA PROFESSIONAL,1
PD,12482,,2110
PD,12482,LUMAX,4467
PD,12504,FLOWBRIX,4
PD,12528,,101
PD,12528,CABRIO TOP,121
PD,12529,,8
PD,12529,TUCANA 25 EC,14
PD,12534,,73
PD,12534,FOXTAIL,221.25
PD,12534,FOXTAIL 250 ml,2.75
PD,12538,,66
PD,12540,,219
PD,12540,REGRAN EXTRA,4
PD,12548,XANILO 45 WG,88.5
PD,12566,,1
PD,12566,PYGANIC 1.4,17
PD,12590,,2020
PD,12590,DIASTAR MAXI,4150
PD,12622,,1
PD,12622,QUANTUM,72
PD,12628,SERENADE MAX,1
PD,12647,,122
PD,12647,GLITTER,241
PD,12661,NEXOL 10 WG,63
PD,12662,,410
PD,12671,,605.9
PD,12671,HARMONY 50 SX,48.44
PD,12671,HARMONY 50 SX gr.20,1
PD,12706,,0.15
PD,12722,,30
PD,12722,OSSICLOR 20 FLOW,611
PD,12737,AIRONE PIU',2440
PD,12738,KING 360 HP,240
PD,12748,,8
PD,12754,VERDRAM HI BIO,362
PD,12756,,22
PD,12756,DICOTEX,14
PD,12756,DICOTEX 1 L,5
PD,12759,OSSICLOR 35 WG,407.7
PD,12759,OSSICLOR 35 WG 1 KG.,5
PD,12761,AGRIMIX TOP,2
PD,12763,PYGRAIN,1834.9
PD,12768,,5
PD,12768,SPINTOR FLY,8
PD,12770,ALAR 85 GOLD,8
PD,12779,,13
PD,12788,ADIGOR,3
PD,12792,,576
PD,12792,MAGIC TANDEM,509
PD,12806,,103
PD,12806,FEDOR,720
PD,12828,SITOFEX,4
PD,12831,INSIGNIA,3
PD,12831,INSIGNIA 1 kg,1
PD,12833,ISOMATE C/OFM,0.19
PD,12843,,1.48
PD,12857,,12
PD,12857,PROREX,5.5
PD,12860,MILBEKNOCK,6
PD,12862,,50
PD,12862,CANTUS,139
PD,12863,FLORAMITE 240 SC,0.25
PD,12866,,24
PD,12866,COLLIS,26
PD,12868,,7
PD,12868,BELLIS,23
PD,12869,,97
PD,12869,SIGNUM,1302
PD,12869,SIGNUM 1 kg,1
PD,12878,,879
PD,12878,FOLPAN GOLD,12640
PD,12883,,156
PD,12883,PROSPER 300 CS,2375
PD,12886,,297
PD,12886,KARATHANE STAR,2657
PD,12886,KARATHANE STAR 1 LT,17
PD,12888,LEPINOX PLUS,10
PD,12888,LEPINOX PLUS 1 kg,2
PD,12904,,8
PD,12916,SACRON 45 W,744
PD,12933,,177
PD,12940,,380
PD,12940,KARATE ZEON 1.5,1015.5
PD,12949,,450
PD,12960,STARPROP,93
PD,12961,,210
PD,12961,HEREU,57
PD,12994,VIVER ELITE WG,0.5
PD,13012,,3763
PD,13012,FOLVIT 80 WDG,57
PD,13018,GONDOR,81
PD,13020,MICRORAM 35 WG,490
PD,13061,,168
PD,13061,BIOBIT DF,34
PD,13062,,13
PD,13063,,3
PD,13063,REGULEX 10 SG,0.2
PD,13064,,70
PD,13064,VITENE ULTRA SC,450
PD,13065,DOMARK 125,33
PD,13076,,5
PD,13084,,51
PD,13084,TELDOR PLUS,88
PD,13093,,678
PD,13093,STOMP AQUA,1567
PD,13098,,315
PD,13098,ROUNDUP POWER 2.0,6089
PD,13106,IKANOS,49
PD,13116,,2.5
PD,13116,MEDOR 35 CLASS,109
PD,13120,,560
PD,13120,MYSTIC 430 SC,15
PD,13126,,299
PD,13126,CABRIO DUO,928
PD,13127,VALIS F,50
PD,13149,,491
PD,13149,POLTIGLIA MANICA 20 WG,44
PD,13150,CURAME 25 WG,249
