num_registrazione;denominazione_prodotto;ragione_sociale;indirizzo_sede_legale;cap_sede_legale;comune_sede_legale;provincia_sede_legale;indirizzo_sede_amministrativa;cap_sede_amministrativa;comune_sede_amministrativa;provincia_sede_amministrativa;data_registrazione;data_scadenza_autorizzazione;indicazioni_di_pericolo;attivita;codice_formulazione;descrizione_formulazione;sostanze_attive;contenuto_per_100g_di_prodotto;importazione_parallela;PFnPO;PFnPE;stato_amministrativo;motivo_della revoca;data_decreto_revoca;data_decorrenza_revoca
012408;VEBIPHOS M 223;SCAM S.P.A.;STRADA BELLARIA, 164;41100;S.MARIA DI MUGNANO;MODENA;STRADA BELLARIA, 164;41100;S.MARIA DI MUGNANO;MODENA;09/12/2004;09/12/2014;(XI) IRRITANTE;INSETTICIDA;EC;CONCENTRATO EMULSIONABILE;CHLORPYRIFOS-METHYL;22.1 g;NO;NO;NO;Revocato;-;-;01/07/2006
012409;ASSO;SCAM S.P.A.;STRADA BELLARIA, 164;41100;S.MARIA DI MUGNANO;MODENA;STRADA BELLARIA, 164;41100;S.MARIA DI MUGNANO;MODENA;09/12/2004;21/07/2009;(N) PERICOLOSO PER L'AMBIENTE;INSETTICIDA;WP;POLVERE BAGNABILE;BUPROFEZIN;25.0 g;NO;NO;NO;Revocato;-;-;30/03/2009
012410;ESAMAG;PROCHIMAG DI MANDRIOLI GIUSEPPE;VIA BYRON, 10;40128;BOLOGNA;BOLOGNA;VIA BYRON, 10;40128;BOLOGNA;BOLOGNA;24/12/2004;31/12/2008;-;FUNGICIDA;SC;SOSPENSIONE CONCENTRATA;ESACONAZOLO;4.8 g;NO;NO;NO;Revocato;-;-;23/05/2007
012411;ROUNDUP;MONSANTO AGRICOLTURA ITALIA S.P.A.;Viale Certosa n. 130;20156;MILANO;MILANO;Viale Certosa n. 130;20156;MILANO;MILANO;20/03/2013;31/12/2017;(N) PERICOLOSO PER L'AMBIENTE|(XI) IRRITANTE;DISERBANTE;AL;LIQUIDO (SENZA DILUIZIONE);GLYPHOSATE;30.7 g;NO;NO;NO;Revocato;-;-;22/08/2016
012412;GENESIS;PHYTEUROP S.A.;Avenue de la Grande Arm̩e, 83;F-75782;Paris Cedex 16;-;Avenue de la Grande Arm̩e, 83;F-75782;Paris Cedex 16;-;23/01/2006;23/01/2016;(XN) NOCIVO;INSETTICIDA;RB;ESCA GRANULARE;THIODICARB;4.0 g;NO;NO;NO;Revocato;-;-;25/11/2007
012413;AFFINITY 40 DG;FMC AGRO ITALIA S.R.L.;VIA F.LLI BRONZETTI, 32/28;24124;-;BERGAMO;VIA F.LLI BRONZETTI, 32/38;24124;-;BERGAMO;23/01/2006;31/07/2034;(XI) IRRITANTE;DISERBANTE;WG;GRANULARE IDRODISPERSIBILE;CARFENTRAZONE-ETHYL;40.0 g;NO;NO;NO;Revocato;-;-;17/05/2021
012415;AFIDINA MICRO C;UPL ITALIA S.R.L.;VIA TERNI, 275;47023;S. CARLO DI CESENA (FC);-;VIA TERNI, 275;47023;S. CARLO DI CESENA (FC);-;27/01/2005;31/12/2008;(N) PERICOLOSO PER L'AMBIENTE;-;CS;SOSPENSIONE DI CAPSULE;FENITROTHION;35.4 g;NO;NO;NO;Revocato;-;-;25/11/2007
012416;ROTIOFEN CAP;UPL ITALIA S.R.L.;VIA TERNI, 275;47023;S. CARLO DI CESENA (FC);-;VIA TERNI, 275;47023;S. CARLO DI CESENA (FC);-;27/01/2005;31/12/2008;(N) PERICOLOSO PER L'AMBIENTE;-;CS;SOSPENSIONE DI CAPSULE;FENITROTHION;35.4 g;NO;NO;NO;Revocato;-;-;25/01/2007
012418;STARTOP;BAYER CROPSCIENCE S.R.L.;VIALE CERTOSA, 130;20156;MILANO;MILANO;VIALE CERTOSA, 130;20156;MILANO;MILANO;30/06/2005;30/06/2015;(N) PERICOLOSO PER L'AMBIENTE;INSETTICIDA;SC;SOSPENSIONE CONCENTRATA;TRIFLUMURON;39.4 g;NO;NO;NO;Revocato;-;-;16/09/2009
012419;BRAVO;SYNGENTA ITALIA S.P.A.;VIA FULVIO TESTI, 280/6;20126;MILANO;MILANO;VIA GALLARATE, 139;20151;MILANO;MILANO;29/03/2005;31/12/2010;(N) PERICOLOSO PER L'AMBIENTE|(XN) NOCIVO;FUNGICIDA;SC;SOSPENSIONE CONCENTRATA;CHLOROTHALONIL;40.0 g;NO;NO;NO;Revocato;-;-;17/06/2013
