Prodotti fitosanitari venduti nell'anno 2019 (fonte dati: Autorità regionale competente, dichiarazioni di vendita p.f. 2017, art. 16 D.Lgs. 150/2012);;;
Provincia;N. Reg. ; Prodotto fitosanitario venduto;"Quantità 
(Kg o litri)"
BL;13600;ZOLFO S.A.I.M. DOPPIO VENTILATO SCO;20,00
BL;13635;POLTIGLIA 20 PB MANICA;200,00
BL;13648;SIARAM 20 WG;21,00
BL;13791;GEATER-STAR;4,00
BL;13809;FORCE ULTRA;5.150,00
BL;13812;NOTO 40 OD;3,00
BL;13815;TUTOR 18-15;22,70
BL;13927;ZAMIR 18;2,50
BL;13955;MITIGREEN;1,00
BL;13981;CORAGEN;1,80
BL;14052;HALLIG 80 WG;12,00
BL;14062;ZOXIUM 240 SC;3,00
BL;14074;TRINEX 250 EW;0,75
BL;14076;CYPRUS 25 DF;17,00
BL;14154;PIRETRO ACTIGREEN;0,40
BL;14154;PIRETRO ACTIGREEN PFnPE;5,90
BL;14208;RELDAN LO;2,00
BL;14262;GREENEX NF PFnPE;0,49
BL;14294;EXECUTIVE;0,20
BL;14407;RUNWAY;0,50
BL;14414;DUSTY PFnPE;6,50
BL;14431;LENTAGRAN 45 WP;1,00
BL;14636;BIOLID UP;22,20
BL;14642;RIDOMIL GOLD R WG;101,00
BL;14737;ROUNDUP PLATINUM;465,00
BL;14739;DECIS PROTECT PFnPE;17,00
BL;14760;RASIKAL PRO;23,00
BL;14812;ENERVIN TOP;10,00
BL;14837;GLIFOSAR FLASH PFnPE;16,00
BL;14885;ROUNDUP RAPIDO;9,00
BL;14891;TRICO;8,00
BL;14891;TRICO PFnPE;45,50
BL;14891;TRICO PFnPE 0.5;4,50
BL;14901;CONCORDE 125;0,35
BL;14919;EMERALD 125;2,40
BL;14947;TRUSTEE 450;309,00
BL;14947;TRUSTEE 450 PFnPE;7,00
BL;14970;POLYSECT ULTRA SL;3,90
BL;15013;NATRIA LUMACHICIDA;8,50
BL;15013;NATRIA LUMACHICIDA PFnPE;25,00
BL;15019;RIVIERA;5,00
BL;15023;DERREX;20,00
BL;15047;R6 ERRESEI BORDEAUX WG;32,75
BL;15058;PRINCIPAL MAIS;4,40
BL;15093;CENTURIO;78,70
BL;15093;CENTURIO PFNPE;24,00
BL;15096;GLIPHOGAN TOP CL;234,00
BL;15096;GLIPHOGAN TOP CL 0.5 lt;199,00
BL;15096;GLIPHOGAN TOP CL PFnPE;714,00
BL;15142;ALCANCE SYNC TEC;180,00
BL;15201;FLOXY 400 SC;4,00
BL;15213;DEMETRINA FLOW;7,73
BL;15213;DEMETRINA FLOW PFNPE;1,52
BL;15253;FALCON MK;78,00
BL;15263;DYNALI;3,00
BL;15289;SERENADE NATRIA PFnPE;1,60
BL;15291;TURFENE PLUS;2,00
BL;15326;CUPROTEK DISPERSS;10,00
BL;15346;FLEXITY;3,00
BL;15356;SPHINX SC;4,00
BL;15389;FLARE GOLD R WG;40,00
BL;15401;TAIFUN MK CL;24,00
BL;15401;TAIFUN MK CL PFnPE;134,00
BL;15405;SHAMAL MK PLUS CL;107,00
BL;15405;SHAMAL MK PLUS CL PFnPE;96,00
BL;15505;SILBOT 500 SC;32,00
BL;15514;CUPRAVIT BLU 35 WG;349,90
BL;15621;BOTTO 50 EC;16,60
BL;15621;BOTTO 50 EC PFNPE;2,40
BL;15654;ACCORD;1,00
BL;15668;GHIBLI 240 OD;172,75
BL;15725;DUAXO;3,80
BL;15725;DUAXO PFnPE;2,00
BL;15751;VITENE TRIPLO R PFnPE;10,50
BL;15779;ABANTO;0,14
BL;15844;SLOGAN TOP;6,00
BL;15859;KATANGA EXPRESS;9,00
BL;15901;ERCOLE;348,00
BL;15901;ERCOLE PFnPE;26,00
BL;15907;PRESIDIUM ONE PFnPE;5,40
BL;15933;AXIENDO PRONTO USO;10,50
BL;16037;MOJANG TX;45,00
BL;16051;LENNS 0.5 lt;13,00
BL;16071;MESOZIN 70 WG;2,25
BL;16099;SINIS 70 DF;23,00
BL;16104;ELECTIS TRIO WDG PFnPE;205,00
BL;16161;CENTURY SL;40,00
BL;16166;POKER MAX PFnPE;48,00
BL;16188;MEDIATOR PLUS;1,00
BL;16273;SIVANTO PRIME;2,00
BL;16288;AMPEXIO;2,25
BL;16299;PASSAT SL;73,00
BL;16325;EPIK SL;38,14
BL;16325;EPIK SL PFNPE;0,72
BL;16335;LIETO SC;6,00
BL;16381;CALLICORE;43,00
BL;16399;DECIS 15 EW HOBBY;4,00
BL;16399;DECIS 15 EW HOBBY PFnPE;300,56
BL;16416;FENOTRIX 300 SC;29,00
BL;16431;PREVICUR ENERGY ORTO PFnPE;0,05
BL;16434;OLIOCIN NATRIA PFnPE;102,50
BL;16483;TEMIDE 50 WG;2,00
BL;16497;DECIS PROTECT EW PFnPE;10,50
BL;16578;MELODY COMPACT WG;3,00
