"Prodotti fitosanitari venduti nell'anno 2021 
(fonte dati: Autorità regionale competente, dichiarazioni di vendita p.f. 2021, art. 16 D.Lgs 150/2012)";;;
Provincia;N. Reg. ; Prodotto fitosanitario venduto;"Quantità 
(Kg o litri)"
PD;7368;TURFENE L;21,00
PD;7379;;75,00
PD;7379;VENZAR;77,00
PD;7401;POLTIGLIA CAFFARO 20 DF NEW;81,00
PD;7401;POLTIGLIA CAFFARO 20 DF NEW PFnPE;10,00
PD;7411;;1,00
PD;7454;ORMONE AG COMPRESSE;0,10
PD;7483;;3,00
PD;7483;DEVRINOL F;125,00
PD;7534;;340,00
PD;7541;;4,15
PD;7541;APOLLO SC;0,50
PD;7555;KLARTAN 20 EW;7,00
PD;7611;;919,00
PD;7611;ENOVIT METIL FL;1.253,00
PD;7700;;63,60
PD;7700;MATACAR FL;54,00
PD;7736;ZOLFO SCORREVOLE TRIVENTILATO 95% S;2.900,00
PD;7764;TIOLENE;186,00
PD;7764;TIOLENE PFnPE;9,00
PD;7876;;2,00
PD;7911;AIRONE EXTRA;390,00
PD;7916;;3.658,00
PD;7916;POLYRAM DF;6.425,00
PD;7919;;2.955,00
PD;7919;TOUCHDOWN;861,00
PD;7922;OPALENE;866,00
PD;7922;OPALENE PFnPE;177,00
PD;7930;;159,00
PD;7930;KERB FLO;343,50
PD;7961;;10,00
PD;7961;RIZOLEX  GOLD;52,00
PD;8028;;244,00
PD;8028;CALARIS;38,00
PD;8102;;465,00
PD;8102;MERPAN 80 WDG;2.289,00
PD;8106;CIMOZEB;641,00
PD;8139;MANTA GOLD;6,00
PD;8146;;60,50
PD;8146;GALLERY;62,00
PD;8184;;168,00
PD;8184;CHALLENGE;245,00
PD;8229;RAPAX;0,45
PD;8259;;48,00
PD;8259;LAMDEX EXTRA;1.020,00
PD;8320;;1,00
PD;8320;DELFIN;37,00
PD;8351;Z.M. 75 DG;220,00
PD;8376;;465,00
PD;8376;ARIANE II;554,00
PD;8382;ROUNDUP BIOFLOW PFnPE;27,50
PD;8498;;8,00
PD;8498;FOLICUR WG;179,50
PD;8542;;1,00
PD;8542;FORUM 50 WP;47,00
PD;8546;DANITRON;2,00
PD;8558;PIRETRO VERDE PFnPE;19,45
PD;8558;PIRETRO VERDE PFnPE 50 ml;0,95
PD;8558;PIRETRO VERDE PFnPE 500 ml;6,00
PD;8599;;2.114,00
PD;8601;;364,00
