Prodotti fitosanitari venduti nell'anno 2016 (fonte dati: Autorità regionale competente, dichiarazioni di vendita p.f. 2016, art. 16 D.Lgs. 150/2012).;;;;;
Provincia;N. Reg. ; Prodotto fitosanitario venduto;Quantità (Kg o litri);;
BL;13323;SULFY 80 WDG;11,10;;
BL;13361;DECIS ENERGY O-TEQ;24,50;;
BL;13382;PERGADO SC;1,00;;
BL;13414;ARES 5 SC;1,75;;
BL;13440;SATEL;0,30;;
BL;13443;FUNGIBEN;0,06;;
BL;13468;CLINER;0,10;;
BL;13521;HELIOCUIVRE S;0,10;;
BL;13522;SPIDER KILL;0,20;;
BL;13540;QUASAR R FLOW;69,75;;
BL;13552;ZOLVIS 80 SECTOR;109,00;;
BL;13576;RAMEPLANT WG;25,60;;
BL;13581;TIOGEL 80 WDG;4,20;;
BL;13586;VERDERAME 20 WG;13,50;;
BL;13592;VOLARE;4,10;;
BL;13600;ZOLFO S.A.I.M. DOPPIO VENTILATO SCO;80,00;;
BL;13635;POLTIGLIA 20 PB MANICA;683,00;;
BL;13640;IMPRINT;2,00;;
BL;13648;SIARAM 20 WG;1.030,00;;
BL;13702;GEOTOX 7,5 C;169,70;;
BL;13711;QUIZA 5 EC;0,80;;
BL;13714;FOLPEC 50 SC;40,00;;
BL;13743;KUKAR 22;6,00;;
BL;13786;QUANTUM R;1,10;;
BL;13791;GEATER-STAR;0,50;;
BL;13794;SPADA WDG;1,00;;
BL;13812;NOTO 40 OD;8,00;;
BL;13823;ALVERDE;3,55;;
BL;13858;MEDIATOR EXTRA SL;1,20;;
BL;13877;KITT PRONTO;11,50;;
BL;13901;VERDERAME 20 PB;10,00;;
BL;13955;MITIGREEN;14,00;;
BL;13998;PYRUS 400 SC;0,10;;
BL;14018;BASIC;4,00;;
BL;14034;CURENOX TOP MICRO;10,00;;
BL;14074;TRINEX 250 EW;0,20;;
BL;14076;CYPRUS 25 DF;81,20;;
BL;14077;CHAMP 20 DF;6,00;;
BL;14154;PIRETRO ACTIGREEN;9,94;;
BL;14178;TRI-BASE;0,80;;
BL;14184;GALATAS PLUS;8,25;;
BL;14248;CLOR QUICK;7,85;;
BL;14248;CLOR QUICK 50 ML;1,30;;
BL;14262;GREENEX NF;3,06;;
BL;14290;KOHINOR 200 SL;1,00;;
BL;14350;ZOLFO RAMATO 5;20,00;;
BL;14363;U 46 GIARDEN;2,00;;
BL;14368;RESOLVA 24H;6,00;;
BL;14369;RESOLVA 24H RTU;34,50;;
BL;14405;MERLIN FLEXX;339,00;;
BL;14407;RUNWAY;17,50;;
BL;14409;MOVENTO 48 SC;23,85;;
BL;14423;PRIMISOL 80 WDG;2,00;;
BL;14431;LENTAGRAN 45 WP;1,00;;
BL;14474;TEBUSIP COMBI;0,75;;
BL;14510;ELECTIS TRIO;181,00;;
BL;14642;RIDOMIL GOLD R WG;126,00;;
BL;14737;ROUNDUP PLATINUM;1.496,00;;
BL;14739;DECIS PROTECT;141,00;;
BL;14758;KARATE WITH ZEON TECHNOLOGY 1.5 HOB;0,48;;
BL;14799;AFLOR 200 SL;2,85;;
BL;14804;COPPER - DF;0,25;;
BL;14815;ADENGO;994,00;;
BL;14826;PYREOS EXTRA SL;1,70;;
BL;14837;GLIFOSAR FLASH;246,00;;
BL;14876;GRANDSTAND;23,25;;
BL;14884;CORUM;17,00;;
BL;14891;TRICO;122,00;;
BL;14901;CONCORDE 125;0,10;;
BL;14980;AFFINITY PLUS;5,00;;
BL;14985;RETENGO PLUS;3,00;;
BL;15013;NATRIA LUMACHICIDA;862,10;;
BL;15019;RIVIERA;6,00;;
BL;15023;DERREX;40,00;;
BL;15047;R6 ERRESEI BORDEAUX WG;80,50;;
BL;15059;DECIS EVO;10,50;;
BL;15064;MAESTRO WG ADVANCE;10,00;;
BL;15079;JUVINAL ECHO;1,00;;
BL;15093;CENTURIO;23,00;;
BL;15094;FOSBEL 80 WG;1,00;;
BL;15130;INTREPID;1,00;;
BL;15135;OLEOSAN PLUS;3,50;;
BL;15181;CIRRUS CS;6,00;;
BL;15201;FLOXY 355 SC;11,00;;
BL;15213;DEMETRINA FLOW;0,05;;
BL;15222;FOLICUR COMBI WG;8,00;;
BL;15227;MESUROL EVOLUTION;9,45;;
BL;15253;FALCON MK;11,00;;
BL;15289;SERENADE NATRIA;1,40;;
BL;15333;APPLAUD PLUS;9,50;;
BL;15343;FEUDO RD WP;5,00;;
BL;15363;MEDEIRO 80 WG ADVANCE;30,00;;
BL;15401;TAIFUN MK CL;37,00;;
BL;15493;SIMUN 40 OD;7,00;;
BL;15505;SILBOT 500 SC;4,00;;
