Nom substance active;Numero CAS;Etat d’autorisation;Variant;
Hexythiazox;78587-05-0;INSCRITE;hexythiazox;
Trifloxystrobin;141517-21-7;INSCRITE;trifloxystrobine;
Flazasulfuron;104040-78-0;INSCRITE;flazasulfuron;
Azoxystrobin;131860-33-8;INSCRITE;azoxystrobine;
Ethephon;16672-87-0;INSCRITE;éthéphon;
Prosulfocarb;52888-80-9;INSCRITE;prosulfocarbe;
Tau-Fluvalinate;102851-06-9;INSCRITE;tau-fluvalinate;
Isoxaflutole;141112-29-0;INSCRITE;isoxaflutole;
Metsulfuron-methyl;;INSCRITE;Metsulfuron | metsulfuron-méthyle;
Clofentezine;74115-24-5;NON_INSCRITE;Clofentezine;
Desmedipham;13684-56-5;NON_INSCRITE;desmédiphame;
Diallate;2303-16-4;NON_INSCRITE;diallate;
Diuron;330-54-1;NON_INSCRITE;diuron;
EPTC (ethyl dipropylthiocarbamate);759-94-4;NON_INSCRITE;EPTC (éthyl dipropylthiocarbamate);
Flupyrsulfuron-methyl;144740-54-5;NON_INSCRITE;flupyrsulfuron-methyl;
Hexamethylene tetramine (urotropin);;NON_INSCRITE;hexaméthylène tetramine (urotropine);
Imazosulfuron;;NON_INSCRITE;imazosulfuron;
Limestone;;NON_INSCRITE;calcaire;
Putrescin (1,4-Diaminobutane);;NON_INSCRITE;putrescine (1,4-Diaminobutane);
Tepraloxydim;149979-41-9;NON_INSCRITE;tépraloxydime;
Thiacloprid;111988-49-9;NON_INSCRITE;thiaclopride;
Thiram;137-26-8;NON_INSCRITE;thirame;
Acequinocyl;57960-19-7;INSCRITE;acéquinocyle;
Fluopicolide;239110-15-7;INSCRITE;fluopicolide;
Metarhizium brunneum strain Ma 43;;INSCRITE;Metarhizium brunneum souche Ma 43 | Metarhizium anisopliae var. anisopliae;
Amino acids: mix;;NON_INSCRITE;acides aminés : mélange;
Asulam;3337-71-1;NON_INSCRITE;asulame sel sodique | asulame;
Alcool isodecylique ethoxyle;;AUTRE_CAS;alcool isodécylique éthoxylé (CAS n° 61827-42-7);
Straight Chain Lepidopteran Pheromones (SCLPs) - Aldehydes;;INSCRITE;(Z)-9-Hexadecenal | (Z)-7-Tetradecenal | Straight Chain Lepidopteran Pheromones (SCLPs) - Aldehydes | (Z)-13-Octadecenal | (Z)-11-Hexadecenal;
Laminarin;9008-22-4;INSCRITE;laminarine;
Phenmedipham;13684-63-4;INSCRITE;phenmédiphame;
Sulfoxaflor;946578-00-3;INSCRITE;sulfoxaflor;
Oxyfluorfen;42874-03-3;INSCRITE;oxyfluorfène;
Aclonifen;74070-46-5;INSCRITE;aclonifène;
Lavandulyl senecioate;;INSCRITE;Lavandulyl senecioate;
Straight Chain Lepidopteran Pheromones (SCLPs) - Acetates;;INSCRITE;(E)-5-decen-1-yl acétate | (E,Z)-3,8-tetradecadien-1-yl acétate | (E)-8-dodecen-1-yl acétate | n-hexadecyl acetate | (E,E)-7,9-dodecadien-1-yl acétate | (E,E)-8,10-dodecadien-1-yl acétate | (Z,E)-7,11-hexadecadien-1-yl acétate | (Z)-9-dodecen-1-yl acétate | (Z)-8-tetradecen-1-yl acétate | (Z,Z)-7,11-hexadecadien-1-yl acétate | (Z)-8-dodecen-1-yl acétate | (E,Z)-2,13-octadecadien-1-yl acétate | (E,Z)-3,13-octadecadien-1-yl acétate | Straight Chain Lepidopteran Pheromones (SCLPs) - Acetates | (E,Z)-7,9-dodecadien-1-yl acétate | (Z)-11-tetradecen-1-yl acétate | (E,Z,Z)-3,8,11-tetradecatrien-1-yl acétate | n-dodecyl acétate | (Z)-9-tetradecen-1-yl acétate | n-tetradecylacétate;
Bacillus amyloliquefaciens strain QST 713;;INSCRITE;Bacillus amyloliquefaciens souche QST 713;
Iprovalicarb;140923-17-7;INSCRITE;iprovalicarbe;
Copper compounds;1317-39-1;INSCRITE;sulfate de cuivre tribasique | hydroxyde de cuivre | carbonate de cuivre potassique | bouillie bordelaise | oxyde de cuivre | cuivre | oxychlorure de cuivre;
Zucchini Yellow Mosaik Virus, weak strain;;NON_INSCRITE;Zucchini Yellow Mosaik Virus, weak strain | virus de la mosaique jaune de la courgette souche bénigne;
Mesotrione;104206-82-8;INSCRITE;mésotrione;
Tefluthrin;79538-32-2;INSCRITE;téfluthrine;
Metazachlor;67129-08-2;INSCRITE;métazachlore;
Tebufenpyrad;;INSCRITE;tebufenpyrad;
Sulfuryl fluoride;2699-79-8;INSCRITE;fluorure de sulfuryle;
Sodium 5-nitroguaiacolate;67233-85-6;INSCRITE;5-nitroguaiacolate de sodium;
Sodium para-nitrophenolate;824-78-2;INSCRITE;para-nitrophénolate de sodium;
Sodium ortho-nitrophenolate;824-39-5;INSCRITE;ortho-nitrophénolate de sodium;
Bupirimate;41483-43-6;INSCRITE;bupirimate;
Abamectin;71751-41-2 | 65195-55-3;INSCRITE;abamectine B1a | abamectine;
Clethodim;99129-21-2;INSCRITE;cléthodime;
Methomyl;16752-77-5;NON_INSCRITE;méthomyl;
Metosulam;;NON_INSCRITE;métosulame;
Esters méthyliques d'acides gras, C14-C18 et C16-C18 insaturés (CAS n° 67762-26-9);;AUTRE_CAS;esters méthyliques d'acides gras, C14-C18 et C16-C18 insaturés (CAS n° 67762-26-9);
Mefentrifluconazole;;INSCRITE;méfentrifluconazole;
2-Ethylhexanol poly-(éthoxylé/propoxylé) (CAS n° 64366-70-7);64366-70-7;AUTRE_CAS;2-éthylhexanol poly-(éthoxylé/propoxylé) (CAS n° 64366-70-7);
Schinopsis lorentzii, ext., bisulfited (CAS n° 100085-70-9);;AUTRE_CAS;Schinopsis lorentzii, ext., bisulfited (CAS n° 100085-70-9);
Kresoxim-methyl;143390-89-0;INSCRITE;krésoxime-méthyle;
Meyerozyma guilliermondii souche 2H13;;AUTRE_CAS;Meyerozyma guilliermondii souche 2H13;
Metaldehyde;108-62-3 (tetramer) - 9002-91-9 (homopolymer);INSCRITE;métaldéhyde;
Helicoverpa armigera nucleopolyhedrovirus;;INSCRITE;Helicoverpa armigera nucleopolyhedrovirus | nucléopolyhédrovirus de Helicoverpa armigera;
Metam;;INSCRITE;métam-potassium | métam | métam-sodium;
Trichoderma atroviride strain I-1237;;INSCRITE;Trichoderma atroviride souche I-1237 | Trichoderma atroviride strain I-1237;
Trichoderma asperellum (strain T34);;INSCRITE;Trichoderma asperellum (strain T34) | Trichoderma asperellum souche T34;
Foramsulfuron;173159-57-4;INSCRITE;foramsulfuron;
Lambda-Cyhalothrin;;INSCRITE;lambda-cyhalothrine;
Napropamide;15299-99-7;INSCRITE;napropamide;
Benalaxyl-M;98243-83-5;INSCRITE;bénalaxyl-M;
Triticonazole;131983-72-7;INSCRITE;triticonazole;
Trichoderma harzianum strains T-22;;INSCRITE;Trichoderma harzianum souche T-22 |  	Trichoderma harzianum strains T-22;
Trichoderma harzianum strains ITEM 908;;INSCRITE;Trichoderma harzianum strains ITEM 908 | Trichoderma harzianum souche ITEM 9082;
Trichoderma gamsii ICC080;;INSCRITE;Trichoderma gamsii (anciennement T. viride) SOUCHES: ICC080 Collection de cultures | Trichoderma gamsii ICC080;
Trichoderma atroviride (formerly T. harzianum) strains T11;;INSCRITE;Trichoderma atroviride souche T11 | Trichoderma atroviride (formerly T. harzianum) strains T11;
Trichoderma asperellum T25;;INSCRITE;Trichoderma asperellum T-25;
Glycérol (CAS n° 56-81-5);56-81-5;AUTRE_CAS;glycérol (CAS n° 56-81-5);
ABE-IT 56;;INSCRITE;ABE IT 56;
Alkyltrimethyl ammonium chloride;;NON_INSCRITE;chlorure d'alkyltrimethyl ammonium;
Fenuron;;NON_INSCRITE;fénuron;
Magnesium phosphide;12057-74-8;INSCRITE;phosphure de magnésium;
(E)-7,11-diméthyl-3-méthylènedodéca-1,6,10-triène (CAS n°  18794-84-8);18794-84-8;AUTRE_CAS;(E)-7,11-diméthyl-3-méthylènedodéca-1,6,10-triène (CAS n° 18794-84-8);
1,1-dichloro-2,2-bis (4-éthyl-phényl)-éthane;;NON_INSCRITE;1,1-dichloro-2,2-bis (4-éthyl-phényl)-éthane;
1,2-dichlorethane;;NON_INSCRITE;1,2-dichloréthane;
1,3,5-tri-(2-hydroxyethyl)-hexa-hydro-s-triazyne;;NON_INSCRITE;1,3,5-tri-(2-hydroxyéthyl)-hexa-hydro-s-triazyne;
2,4,5-T;93-76-5 | 41083-11-8;NON_INSCRITE;2,4,5-T sel d'amine | 2,4,5-T ester de butyl glycol | 2,4,5-T sel de diethylamine | 2,4,5-T sel de dimethylamine | 2,4,5-T melange d'esters | 2,4,5,T ester butoxyethanolique | 2,4,5-T ester butylique | 2,4,5-T ester isobutylique | 2,4,5-T | 2,4,5-T ester amylique | 2,4,5-T ester isooctylique | 2,4,5-T ester d'octyl glycol;
3-decen-2-one;;NON_INSCRITE;3-decen-2-one;
3-isoxazolidinone;;NON_INSCRITE;F9600;
Agrotis segetum granulosis virus;;NON_INSCRITE;virus de la granulose d'Agrotis segetum;
Bacillus thuringiensis subsp. tenebrionis;;NON_INSCRITE;Bacillus thuringiensis subsp. tenebrionis | Bacillus thuringiensis subsp. tenebrionis SOUCHE: NB 176 (TM 14 1) Collecti;
DDT;;NON_INSCRITE;dichlorodiphényltrichloroéthane (DDT);
Mamestra brassica nuclear polyhedrosis virus;;NON_INSCRITE;virus de la polyhédrose nucléaire de Mamestra brassica;
TCMTB;;NON_INSCRITE;TCMTB;
TEPP;;NON_INSCRITE;TEPP;
(Z)-9-tricosene;;NON_INSCRITE;(Z)-9-tricosene;
Z,Z,Z,Z-7,13,16,19-docosatetraen-1-yl isobutyrate;;NON_INSCRITE;z,Z,Z,Z-7,13,16,19-docosatetraen-1-yl isobutyrate;
Sulcotrione;99105-77-8;INSCRITE;sulcotrione;
Trichoderma atroviride (formerly T. harzianum) strains IMI 206040;;NON_INSCRITE;Trichoderma atroviride souche IMI-206040 | Trichoderma atroviride (formerly T. harzianum) strains IMI 206040;
Tebufenozide;112410-23-8;INSCRITE;tébufenozide;
Sodium silver thiosulphate;;INSCRITE;thiosulphate d'argent;
Quinmerac;90717-03-6;INSCRITE;quinmérac;
1,4-dimethylnaphtalene;571-58-4;INSCRITE;1,4-dimethylnaphtalène;
Fenoxaprop-P;;INSCRITE;fénoxaprop-P-éthyle | fénoxaprop-P;
Propamocarb;;INSCRITE;propamocarbe | propamocarbe HCl;
Propyzamide;23950-58-5;INSCRITE;propyzamide;
Lime sulphur (calcium polysulphid);;INSCRITE;polysulfure de calcium;
Isoxaben;82558-50-7;INSCRITE;isoxabène;
Fluroxypyr;69377-81-7 | 81406-37-3;INSCRITE;fluroxypyr | fluroxypyr-méptyl;
Carbon dioxide;124-38-9;INSCRITE;dioxyde de carbone;
Acibenzolar-S-methyl;135158-54-2;NON_INSCRITE;acibenzolar-S-méthyle;
Valifenalate;;INSCRITE;valifénalate;
huile de soja éthoxylée (CAS N° 61791-23-9);61791-23-9;AUTRE_CAS;huile de soja éthoxylée (CAS n° 61791-23-9);
Emamectin;155569-91-8;INSCRITE;benzoate d'émamectine;
Bacillus amyloliquefaciens MBI 600;;INSCRITE;Bacillus amyloliquefaciens souche MBI 600;
Pymetrozine;123312-89-0;NON_INSCRITE;pymétrozine;
Quinoxyfen;124495-18-7;NON_INSCRITE;quinoxyfène;
Quizalofop-P;;INSCRITE;Quizalofop-P | quizalofop-P-téfuryl | quizalofop-P-éthyl;
Sodium aluminium silicate;;NON_INSCRITE;silicate de sodium aliminium;
Teflubenzuron;83121-18-0;NON_INSCRITE;téflubenzuron;
Tribufos (s,s,s-tributyl-phosphorotrithioate);;NON_INSCRITE;tribufos (s,s,s-tributyl-phosphorotrithioate);
Verticillium albo-atrum (WCS850);;INSCRITE;Verticillium albo-atrum (WCS850);
DNOC;534-52-1;NON_INSCRITE;HEC 5725 A (63% isomere E, 35% isomere Z) | HEC 5725 N (92% isomere E, 8% isomere Z) | DNOC;
Pseudozyma flocculosa;;NON_INSCRITE;Pseudozyma flocculosa | Pseudozyma flocculosa souche ATCC 64874;
Spodoptera exigua nuclear polyhedrosis virus;;NON_INSCRITE;Spodoptera exigua nuclear polyhedrosis virus;
Calcium carbonate;;INSCRITE;carbonate de calcium;
Clonostachys rosea, souche J1446;;INSCRITE;Gliocladium catenulatum souche J1446 | Clonostachys rosea souche J1446 | Gliocladium catenulatum souche J1446 (coll. DSM 9212);
Fenazaquin;120928-09-8;INSCRITE;fénazaquine;
Bacillus thuringiensis subsp. Kurstaki strain EG 2348;;INSCRITE;Bacillus thuringiensis subsp. kurstaki EG2348 | Bacillus thuringiensis subsp. Kurstaki strain EG 2348;
Etoxazole;153233-91-1;INSCRITE;étoxazole;
Purpureocillium lilacinum strain PL11;;INSCRITE;Purpureocillium lilacinum souche PL11;
Bacillus thuringiensis subsp. kurstaki PB 54;;INSCRITE;Bacillus thuringiensis subsp. kurstaki PB 54 | Bacillus thuringiensis subsp. Kurstaki strain PB 54;
Bacillus thuringiensis subsp. kurstaki ABTS-351;;INSCRITE;Bacillus thuringiensis subsp. kurstaki ABTS-351 | Bacillus thuringiensis subsp. Kurstaki strain ABTS 351;
2,5-Dichlorobenzoic acid methylester;2905-69-3;INSCRITE;ester méthylique de l'acide 2,5-dichlorobenzoïque;
Dihydromyrcénol (CAS n° 18479-58-8);18479-58-8;AUTRE_CAS;dihydromyrcénol (CAS n° 18479-58-8);
Heptamaloxyloglucan;870721-81-6;INSCRITE;heptamaloxyloglucane;
Siloxane poly-(éthoxylée/propoxylée) (CAS n° 134180-76-0);;AUTRE_CAS;siloxane poly-(éthoxylée/propoxylée) (CAS n° 134180-76-0);
Isopyrazam;881685-58-1 -  (syn-isomer: 683777-13-1 / anti-isomer: 683777-14-2);NON_INSCRITE;isopyrazam;
Beflubutamid;113614-08-7;INSCRITE;béflubutamide;
Bacillus pumilus QST 2808;;NON_INSCRITE;Bacillus pumilus QST 2808;
Paclobutrazol;76738-62-0;INSCRITE;paclobutrazol;
Ascorbic acid;50-81-7;NON_INSCRITE;acide ascorbique;
Flurochloridone;61213-25-0;INSCRITE;flurochloridone;
Indolylbutyric acid;133-32-4;INSCRITE;acide indolylbutyrique;
Phosphane;7803–51-2;INSCRITE;phosphine (hydrure de phosphore);
Plant oils / Clove oil;8000-34-8 (US) & 84961-50-2 (EU) (clove oil) - 97-53-0 (Eugenol – main component);INSCRITE;eugénol | essence de girofle | Plant oils / Clove oil;
Extract from Tea tree;;INSCRITE;huile d'arbre à thé | extrait d'arbre à thé;
Difenoconazole;119446-68-3;INSCRITE;difénoconazole;
Pyraclostrobin;175013-18-0;INSCRITE;pyraclostrobine;
Picloram;1918-02-1;INSCRITE;piclorame ester iso octylique | piclorame sel de potassium | piclorame sels de dimethylamine et de potassium | piclorame sel d'isopropylamine | piclorame | piclorame sel d'amine | piclorame sel de tri isopropanolamine;
Sodium hydrogen carbonate;144-55-8;INSCRITE;hydrogénocarbonate de sodium;
Captan;133-06-2;INSCRITE;captane;
C13-C17 sec-alkyl sulfonate de sodium (CAS n° 85711-69-9);85711-69-9;AUTRE_CAS;C13-C17 sec-alkyl sulfonate de sodium (CAS n° 85711-69-9);
Sulphur;7704-34-9;INSCRITE;soufre | soufre mouillable | soufre triture | soufre triture ventile | soufre micronisé;
Ferric phosphate;;INSCRITE;phosphate ferrique | phosphate ferrique dihydraté  | phosphate ferrique hydraté;
Straight Chain Lepidopteran Pheromones (SCLPs) - Alcohols;;INSCRITE;(Z)-9-tetradecen-1-ol | Straight Chain Lepidopteran Pheromones (SCLPs) - Alcohols | (Z)-11-hexadecen-1-ol | tetradecan-1-ol | (E,E)-8,10-dodecadien-1-ol | (Z)-8-tetradecen-1-ol | dodecan-1-ol | (Z)-8-dodecen-1-ol | (E)-5-decen-1-ol;
Prothioconazole;178928-70-6;INSCRITE;prothioconazole;
Mandestrobin;;INSCRITE;mandestrobine;
Pyraflufen-ethyl;129630-19-9;INSCRITE;pyraflufène-éthyle;
Maleic hydrazide;123-33-1;INSCRITE;hydrazide maléïque | hydrazide maléïque (sel de potassium);
Etofenprox;80844-07-1;INSCRITE;étofenprox;
Disodium phosphonate;13708-85-5 (other registry numbers : 130184-07-5 . 16926-95-7);INSCRITE;phosphonate de disodium | phosphonate disodique | HEC 5725 (100% isomère E);
Cyhalofop-butyl;122008-85-9;INSCRITE;cyhalofop-butyl;
Nicosulfuron;;INSCRITE;nicosulfuron;
Dodine;;INSCRITE;Dodine;
2,4-D;94-75-7 | 1928-43-4;INSCRITE;2,4-D ester amylique | 2,4-D sel de tri isopropanol amine | 2,4-D sel de sodium | 2,4-D ethylhexyl ester | 2,4-D EHE | 2,4-D ester isobutylique | 2,4-D sels d'amines | 2,4-D acetamide | 2,4-D isopropylester | 2,4-D ester de butyl glycol | 2,4-D ester ethylique | 2,4-D sels de diméthylamine et de triméthylamine | 2,4-D ester isooctylique | 2,4-D sel de diméthylamine | 2,4-D sel d'amine | 2,4-D sel de diéthanolamine | 2,4-D sel de potassium | 2,4-D sel d'éthanolamine | 2,4-D ester isopropylique | 2,4-D sels de diméthylamine et de diéthanolamine | 2,4-D butylate | 2,4-D esters | 2,4-D ester butoxyéthanolique | 2,4-D | 2,4-D sel de triéthanolamine;
Aluminium ammonium sulphate;7784-26-1 - 7784-25-0;INSCRITE;sulfate d'ammonium et d'aluminium;
Bentazone;25057-89-0;INSCRITE;bentazone-Na | bentazone | bentazone-DEA;
Pythium oligandrum M1;;INSCRITE;Pythium oligandrum SOUCHES: M1 Collection de cultures no ATCC 38472 | Pythium oligandrum souche M1;
Chlorantraniliprole;500008-45-7;INSCRITE;chlorantraniliprole | Chlorantraniliprole;
Zoxamide;156052-68-5;INSCRITE;zoxamide;
Bixafen;581809-46-3;INSCRITE;bixafène;
Esters méthyliques d'acides gras, C16-C18 et C18 insaturés (CAS n° 67762-38-3);67762-38-3;AUTRE_CAS;esters méthyliques d'acides gras, C16-C18 et C18 insaturés (CAS n° 67762-38-3);
Tembotrione;335104-84-2;INSCRITE;tembotrione;
Propoxycarbazone;145026-81-9 (parent). 181274-15-7 (sodium salt);INSCRITE;propoxycarbazone sodium | Propoxycarbazone;
Potassium phosphonates;13977-65-6 for potassium hydrogen phosphonate - 13492-26-7 for dipotassium phosphonate Mixture: none;INSCRITE;phosphonates de potassium | acide phosphoreux;
Bacillus thuringiensis subsp. Kurstaki strain SA 11;;INSCRITE;Bacillus thuringiensis subsp. Kurstaki souche SA 11 ;
Beauveria bassiana strain BOV1;;AUTRE_CAS;Beauveria bassiana souche BOV1;
Ametoctradin;865318-97-4;INSCRITE;amétoctradine;
Fosetyl;39148-24-8 (fosétyl-Al) | 15845-66-6 (fosetyl);INSCRITE;fosétyl d'aluminium | fosétyl;
Penthiopyrad;183675-82-3;NON_INSCRITE;penthiopyrade;
1-Naphtylacetic acid;86-87-3;INSCRITE;acide 1-naphtylacétique;
1-Naphthylacetamide;86-86-2;INSCRITE;1-Naphthylacétamide;
1-Decanol;112-30-1;INSCRITE;1-décanol;
Geraniol;106-24-1;INSCRITE;géraniol;
Flutolanil;66332-96-5;INSCRITE;flutolanil;
Pyroxsulam;422556-08-9;INSCRITE;pyroxsulam;
Plant oils / Rape seed oil;8002-13-9 | 93165-31-2;INSCRITE;huile de colza;
Alkyl alcool alkoxylate (CAS n°160875-66-1);160875-66-1;AUTRE_CAS;alkyl alcool alkoxylate (CAS n° 160875-66-1);
Metrafenone;220899-03-6;INSCRITE;métrafénone;
Aminopyralid;150114-71-9;INSCRITE;aminopyralide sel de triisopropanolamine | aminopyralide | aminopyralide sel de potassium;
Pyridaben;96489-71-3;INSCRITE;pyridabène;
Pyrethrins;8003-34-7;INSCRITE;pyréthrines | cinérine | jasmoline 1 | extrait de pyrèthres végétales | jasmoline 2 | Pyrethres naturels | cinérine | pyréthrine 2 | extrait B: pyréthrine 1 | pyréthrines21-1 pyréthrine 2;
Prosulfuron;94125-34-5;INSCRITE;prosulfuron | CA 741 A (intermédiaire de prosulfuron);
Proquinazid;189278-12-4;INSCRITE;proquinazid;
Prohexadione;127277-53-6;INSCRITE;prohexadione-calcium;
Pinoxaden;243973-20-8;INSCRITE;pinoxaden;
Malathion;121-75-5;INSCRITE;malathion;
Fluopyram;658066-35-4;INSCRITE;fluopyram;
Fluometuron;2164-17-2;INSCRITE;fluométuron;
Fluazinam;79622-59-6;INSCRITE;fluaziname;
Fluazifop-P;83066-88-0;INSCRITE;fluazifop-P | fluazifop-P-butyl;
Esfenvalerate;66230-04-4;INSCRITE;esfenvalérate;
Aluminium sulphate;10043-01-3;INSCRITE;sulfate d'aluminium;
Terpenoid blend QRD-460;;NON_INSCRITE;mélange de terpène (QRD 460);
Tribenuron;101200-48-0;INSCRITE;tribénuron-méthyle;
Halauxifen-methyl;;INSCRITE;halauxifène-méthyl;
Fenpropidin;67306-00-7;INSCRITE;fenpropidine;
Pyriproxyfen;95737-68-1;INSCRITE;Pyriproxyfen;
Metalaxyl-M;70630-17-0;INSCRITE;métalaxyl-M;
6-Benzyladenine;;INSCRITE;6-benzyladénine;
Fish oil;100085-40-3;INSCRITE;huile de poisson | Repellents by smell of animal or plant origin/ fish oil;
Fenpyroximate;134098-61-6;INSCRITE;fenpyroximate;
Aluminium silicate;1332-58-7;INSCRITE;silicate d'aluminium | kaolin dihydraté | kaolin | argile kaolinique;
MCPB;94-81-5;INSCRITE;MCPB sel sodique | MCPB;
Benzovindiflupyr;;INSCRITE;benzovindiflupyr;
Triclopyr;;INSCRITE;triclopyr sel de triéthylamine | triclopyr (ester de 2 butoxyéthyle = triclopyr-butolyl) | triclopyr butoxy éthyl ester | Triclopyr ester de butyl glycol | triclopyr (ester de 2 butoxyéthyle=triclopyr-butolyl) | triclopyr;
Pirimiphos-methyl;29232-93-7;INSCRITE;pyrimiphos-méthyl;
Folpet;133-07-3;INSCRITE;folpet;
Thymol;89-83-8;INSCRITE;thymol;
Spiroxamine;118134-30-8;INSCRITE;spiroxamine;
Sintofen;130561-48-7;INSCRITE;sintofène;
Plant oils / Spearmint oil;;INSCRITE;huile de menthe verte;
Fenhexamid;126833-17-8;INSCRITE;fenhexamide;
Cyprodinil;121552-61-2;INSCRITE;cyprodinil;
Fludioxonil;;INSCRITE;fludioxonil;
Tebuconazole;107534-96-3;INSCRITE;tébuconazole;
Diflufenican;83164-33-4;INSCRITE;diflufénican;
Flumioxazin;103361-09-7;INSCRITE;flumioxazine;
Dimethenamid-P;163515-14-8;INSCRITE;diméthénamide | diméthénamide-P;
Inpyrfluxam;;AUTRE_CAS;Inpyrfluxam;
Gibberellic acid;77-06-5;INSCRITE;acide gibbérellique-benzyladénine | acide gibbérellique;
Cyantraniliprole;736994-63-1;INSCRITE;cyantraniliprole;
Florasulam;145701-23-1;INSCRITE;florasulame;
Elemental Iron;;INSCRITE;fer élémentaire;
Flonicamid;158062-67-0;INSCRITE;flonicamide;
Dichlorprop-P;15165-67-0;INSCRITE;dichlorprop-P sels de potassium | dichlorprop-P | dichlorprop-P sel d'amine | dichlorprop-P 2-EHE | dichlorprop-P sel de dimethylamine | dichlorprop-P sel de sodium;
Metamitron;41394-05-2;INSCRITE;métamitrone;
Lysate of Willaertia magna;;INSCRITE;Lysat de Willaertia  magna C2c Maky | Lysate of Willaertia magna C2c Maky;
Cypermethrin;52315-07-8;INSCRITE;cyperméthrine 40/60 | cyperméthrine | high-cis cyperméthrine;
Imazamox;114311-32-9;INSCRITE;imazamox;
Boscalid;188425-85-6;INSCRITE;boscalide;
Cycloxydim;101205-02-1;INSCRITE;cycloxydime;
Fluxapyroxad;907204-31-3;INSCRITE;fluxapyroxade;
Fatty acids C7 to C20;;INSCRITE;acide heptanoïque | acide caprique | acide caprylique + acide caprique | acide décanoïque | acide caprylique | acide gras | acides gras C7-C20 sels de potassium | acide caprylique (sel de potassium) | acide gras sous forme de sels d'amine | acide décanoïque (sel de potassium) | acides gras en C7-C18 et sels de potassium insaturés en C18;
Goudron de pin;;AUTRE_CAS;goudron de pin;
Alcool ethylique;;AUTRE_CAS;Alcool ethylique;
Silice hydratee;;AUTRE_CAS;Silice hydratee;
Alcools alcoxyles;;AUTRE_CAS;Alcools alcoxyles;
Hydrazide maleique (sels d'amine);;NON_INSCRITE;hydrazide maléïque (sels d'amine);
Polysorbate 20;;AUTRE_CAS;Polysorbate 20;
Esters methyliques d'acides gras;;AUTRE_CAS;Esters methyliques d'acides gras;
(E,Z)-7,9-Dodecadien-1-yl Acetate;;INSCRITE;(E,Z)-7,9-Dodecadien-1-yl Acétate;
Polymere d'amine gras;;AUTRE_CAS;Polymere d'amine gras;
Composition complexe;;AUTRE_CAS;Composition complexe;
Paraffine;;AUTRE_CAS;Paraffine;
Colophane;;AUTRE_CAS;Colophane;
Polyoxyethylene amine;;AUTRE_CAS;Polyoxyethylene amine;
Cires de petrole;;AUTRE_CAS;Cires de petrole;
Huile de resine;;AUTRE_CAS;Huile de resine;
Polyether polyol;;AUTRE_CAS;Polyether polyol;
Alkyl phenol polyoxyethylene;;AUTRE_CAS;Alkyl phenol polyoxyethylene;
Laminaria digitata;;AUTRE_CAS;Laminaria digitata;
Huile de ricin;;AUTRE_CAS;Huile de ricin;
Huile minerale paraffinique;;AUTRE_CAS;Huile minerale paraffinique;
Polymere acetate de vinyle - ester maleique;;AUTRE_CAS;Polymere acetate de vinyle - ester maleique;
Polymere complexe d'ethylene et de propylene;;AUTRE_CAS;Polymere complexe d'ethylene et de propylene;
Ester de polyethylene glycol d'alkylphenol;;AUTRE_CAS;Ester de polyethylene glycol d'alkylphenol;
Huiles blanches de petrole;;AUTRE_CAS;Huiles blanches de petrole;
Copolymere;;AUTRE_CAS;Copolymere;
Alkylpolyglucoside;;AUTRE_CAS;Alkylpolyglucoside;
Cires microcristallines;;AUTRE_CAS;Cires microcristallines;
essence de térébenthine;;AUTRE_CAS;essence de térébenthine;
Liant cellulosique;;AUTRE_CAS;Liant cellulosique;
Mouillant;;AUTRE_CAS;Mouillant;
colophane traitée au maléate;;AUTRE_CAS;colophane traitée au maléate;
Cresol;;NON_INSCRITE;Cresol;
Cire;;AUTRE_CAS;cire;
Alcohol denature;;AUTRE_CAS;Alcohol denature;
Poudre de corne;;AUTRE_CAS;Poudre de corne;
Suif;;AUTRE_CAS;Suif;
Latex synthetique;;AUTRE_CAS;Latex synthetique;
Huile blanche parafinique;;AUTRE_CAS;Huile blanche parafinique;
Alkyl polysaccharides;;AUTRE_CAS;Alkyl polysaccharides;
Huile de riccin ethoxylee;;AUTRE_CAS;Huile de riccin ethoxylee;
Alcool polyvinylique;;AUTRE_CAS;Alcool polyvinylique;
Ethyloleathe;;AUTRE_CAS;Ethyloleathe;
Phosphate d'ammonium;;AUTRE_CAS;Phosphate d'ammonium;
Huile vegetale;;AUTRE_CAS;Huile vegetale;
Alcools terpeniques;;AUTRE_CAS;alcools terpéniques;
Gamma-HCH;;NON_INSCRITE;gamma-HCH;
Methanol;;AUTRE_CAS;Methanol;
Dodecanol;;INSCRITE;dodécanol;
Aluminosilicate de potassium;;AUTRE_CAS;Aluminosilicate de potassium;
Polymere acrylique;;AUTRE_CAS;Polymere acrylique;
Alkyl phenol oxyethylene;;AUTRE_CAS;Alkyl phenol oxyethylene;
Fleur de chaux (chaux eteinte);;AUTRE_CAS;Fleur de chaux (chaux eteinte);
Ester Sulfurique Alcools et Acides Gras Sulfones;;AUTRE_CAS;Ester Sulfurique Alcools et Acides Gras Sulfones;
Poix extrait de résine de pin;;AUTRE_CAS;Poix extrait de résine de pin;
Huile de petrole;;AUTRE_CAS;Huile de petrole;
Amines grasses de suif ethoxylees;;AUTRE_CAS;Amines grasses de suif ethoxylees;
Polymeres d'hydrocarbures;;AUTRE_CAS;Polymeres d'hydrocarbures;
Polyisobutene;;AUTRE_CAS;Polyisobutene;
