Nom substance active;Numero CAS;Etat d’autorisation;Variant;
Clayed charcoal;;INSCRITE;Clayed charcoal;
Clofencet;82697-71-0;NON_INSCRITE;clofencet;
Isolan;;NON_INSCRITE;isolan;
Isoprocarbe;;NON_INSCRITE;isoprocarbe;
Lindane;58-89-9;NON_INSCRITE;gamma-HCH;
Linuron;330-55-2;NON_INSCRITE;linuron;
Pythium oligandrum strain B301;;INSCRITE;Pythium oligandrum strain B301;
Clothianidin;210880-92-5;NON_INSCRITE;Clothianidin;
Conifer needle powder;;NON_INSCRITE;poudre d'aiguille de conifère;
Corn steep liquor;;NON_INSCRITE;soluble de maïs;
Coumatetralyl;5836-29-3;NON_INSCRITE;coumatétralyl;
Cumylphenol;;NON_INSCRITE;cumylphenol;
Cyanides: calcium, hydrogen, sodium;;NON_INSCRITE;cyanures (de  calcium, d'hydrogen, de sodium);
Cyclanilide;;NON_INSCRITE;cyclanilide;
Cycluron;2163-69-1;NON_INSCRITE;cycluron;
Cyfluthrin;68359-37-5;NON_INSCRITE;cyfluthrine;
Cyhalothrin;;NON_INSCRITE;cyhalothrine;
Demeton-S-methyl sulphone;;NON_INSCRITE;déméton-S-méthyl sulphone;
Diafenthiuron;;NON_INSCRITE;diafenthiuron;
Diammonium phosphate;;INSCRITE;diammonium phosphate;
Diazinon;333-41-5;NON_INSCRITE;diazinon;
Dichlone;117-80-6;NON_INSCRITE;dichlone;
Endothal;;NON_INSCRITE;endothal;
Etacelasil;;NON_INSCRITE;étacélasil;
Ethalfluralin;55283-68-6;NON_INSCRITE;éthalfluraline;
Ethanol;;AUTRE_CAS;éthanol;
E-9-Dodecen-1-yl acetate;;NON_INSCRITE;e-9-Dodecen-1-yl acétate;
Ethirimol;;NON_INSCRITE;éthyrimol;
Ethoate-methyl;;NON_INSCRITE;éthoate-méthyle;
Ethoprophos;13194-48-4;NON_INSCRITE;éthoprophos;
Ethoxysulfuron;;NON_INSCRITE;éthoxysulfuron;
Plant oils / Ylang-Ylang oil;;NON_INSCRITE;huile de plantes / huile d'Ylang-Ylang;
Polybutene;;AUTRE_CAS;polybutène;
Polymer of styrene and acrylamide;;NON_INSCRITE;polymère de styrène et d'acrylamide;
Phosametine;;NON_INSCRITE;phosamétine;
Propachlor;1918-16-7;NON_INSCRITE;propachlore;
Propiconazole;60207-90-1;NON_INSCRITE;propiconazole;
Strychnine;;NON_INSCRITE;strychnine;
Sulfentrazone;;NON_INSCRITE;sulfentrazone;
Beauveria bassiana IMI389521;;INSCRITE;Beauveria bassiana IMI389521;
Beauveria bassiana strain 147;;INSCRITE;Beauveria bassiana souche 147;
Carbetamide;16118-49-3;NON_INSCRITE;carbétamide;
Cerevisane;;INSCRITE;Cerevisane | cerevisane;
Esters éthyliques d'acides gras, C16-C18 et C18 insaturés (CAS n° 85049-36-1);85049-36-1;AUTRE_CAS;esters éthyliques d'acides gras, C16-C18 et C18 insaturés (CAS n° 85049-36-1);
Urea;57-13-6;INSCRITE;Urea;
Ammonium hydroxyde;;NON_INSCRITE;hydroxyde d'ammonium;
Bitertanol;55179-31-2;NON_INSCRITE;bitertanol;
Bitumen;;NON_INSCRITE;bitumen;
Isopropalin;;NON_INSCRITE;isopropalin;
Cyanazine;21725-46-2;NON_INSCRITE;cyanazine;
Cycloate;1134-23-2;NON_INSCRITE;cycloate;
Dimefox;115-26-4;NON_INSCRITE;diméfox;
