DOCUMENT_ID,PRODUCT_ID,PRODUCT,DOCUMENT_TYPE,TYPE_EVIDENCE,URL,SOURCE_PAGE,FILENAME,VISIBLE_DOCUMENT_DATE,HTTP_STATUS,DOWNLOAD_STATE,MEDIA_TYPE,BYTES,SHA256,STORAGE_KEY,CAPTURED_AT,PROVA_DE_QUE_E_DOCUMENTO
DOC-ES-3a18920c7e1e,ADAMA-ES-94a39873b3a0,TRICUPROXI F,SDS,"TEXTO_DO_LINK casou ""FDS""",https://www.adama.com/spain/es/media/1661/download?attachment,https://www.adama.com/spain/es/nuestras-soluciones/control-de-enfermedades/tricuproxi-f,TRICUPROXI-F.pdf,NÃO SEI,200,DOWNLOADED,application/pdf,315482,9108addd1f3b51cf8203e01b7a9141924d3519868071c0cf9b14975f73439b4a,raw/ES/adama-website/ADAMA-ES-94a39873b3a0/9108addd1f3b51cf-TRICUPROXI-F.pdf,2026-08-30T03:19:24Z,EXTENSAO_NO_TITLE
DOC-ES-5f0bf4aedd63,ADAMA-ES-94a39873b3a0,TRICUPROXI F,BROCHURE,"TEXTO_DO_LINK casou ""Folleto""",https://www.adama.com/spain/es/media/3081/download?attachment,https://www.adama.com/spain/es/nuestras-soluciones/control-de-enfermedades/tricuproxi-f,Tricuproxi F Olivar folleto.pdf,NÃO SEI,200,DOWNLOADED,application/pdf,15538421,f67495600f477b1d9549062b3592e850d2116c123f7c2bc1c5a3e3875760135c,raw/ES/adama-website/ADAMA-ES-94a39873b3a0/f67495600f477b1d-Tricuproxi F Olivar folleto.pdf,2026-08-30T03:19:24Z,EXTENSAO_NO_TITLE
DOC-ES-3f1876968e0d,ADAMA-ES-e4f9469cc127,TRIMMER SX,ADAMA_COMMERCIAL_LABEL,"TEXTO_DO_LINK casou ""Etiqueta""",https://www.adama.com/spain/es/media/1746/download?attachment,https://www.adama.com/spain/es/nuestras-soluciones/control-de-malas-hierbas/trimmer-sx,Trimmer Etiqueta.pdf,NÃO SEI,200,DOWNLOADED,application/pdf,565556,c6dcb41709d639fcbfd923ee20ce5eb09bb8ee1b17ff5ec7ee4c558dc353f8c3,raw/ES/adama-website/ADAMA-ES-e4f9469cc127/c6dcb41709d639fc-Trimmer Etiqueta.pdf,2026-08-30T03:19:24Z,EXTENSAO_NO_TITLE
DOC-ES-8d0480483c2c,ADAMA-ES-e4f9469cc127,TRIMMER SX,SDS,"TEXTO_DO_LINK casou ""FDS""",https://www.adama.com/spain/es/media/2216/download?attachment,https://www.adama.com/spain/es/nuestras-soluciones/control-de-malas-hierbas/trimmer-sx,TRIMMER SX.pdf,NÃO SEI,200,DOWNLOADED,application/pdf,128206,8a9463c59042c558d97529d4d23e9c6944f9bcf5932cf78a1244386e4403288f,raw/ES/adama-website/ADAMA-ES-e4f9469cc127/8a9463c59042c558-TRIMMER SX.pdf,2026-08-30T03:19:24Z,EXTENSAO_NO_TITLE
DOC-ES-66c40d69aec3,ADAMA-ES-648d96466b03,TRINITY,ADAMA_COMMERCIAL_LABEL,"TEXTO_DO_LINK casou ""Etiqueta""",https://www.adama.com/spain/es/media/1861/download?attachment,https://www.adama.com/spain/es/nuestras-soluciones/control-de-malas-hierbas/trinity,L30044_04 TRINITY_COMP_ SPECIMEN.pdf,NÃO SEI,200,DOWNLOADED,application/pdf,283783,883e0d173f5d3d28afdb8fae40f8ff2ad0630f2b68a24d9bd7b1f3ebf99548a8,raw/ES/adama-website/ADAMA-ES-648d96466b03/883e0d173f5d3d28-L30044_04 TRINITY_COMP_ SPECIMEN.pdf,2026-08-30T03:19:24Z,EXTENSAO_NO_TITLE
DOC-ES-ccbd77f9107d,ADAMA-ES-648d96466b03,TRINITY,SDS,"TEXTO_DO_LINK casou ""FDS""",https://www.adama.com/spain/es/media/2221/download?attachment,https://www.adama.com/spain/es/nuestras-soluciones/control-de-malas-hierbas/trinity,TRINITY.pdf,NÃO SEI,200,DOWNLOADED,application/pdf,126251,0192280ac857a1e572e5dd7616ae3557ebbf2579ea0109c38562d6cd713a0ccb,raw/ES/adama-website/ADAMA-ES-648d96466b03/0192280ac857a1e5-TRINITY.pdf,2026-08-30T03:19:24Z,EXTENSAO_NO_TITLE
DOC-ES-ceb476f125f8,ADAMA-ES-648d96466b03,TRINITY,BROCHURE,"TEXTO_DO_LINK casou ""Folleto""",https://www.adama.com/spain/es/media/161/download?attachment,https://www.adama.com/spain/es/nuestras-soluciones/control-de-malas-hierbas/trinity,Folleto Trinity_2018.pdf,NÃO SEI,200,DOWNLOADED,application/pdf,634148,ecaf805dfb3c48e4ac4b1a56c84c2ffb47921975079c0b014975ceb212660770,raw/ES/adama-website/ADAMA-ES-648d96466b03/ecaf805dfb3c48e4-Folleto Trinity_2018.pdf,2026-08-30T03:19:24Z,EXTENSAO_NO_TITLE
DOC-ES-dda11e755b67,ADAMA-ES-7e08f308a5f7,VINERGY,ADAMA_COMMERCIAL_LABEL,"TEXTO_DO_LINK casou ""Etiqueta""",https://www.adama.com/spain/es/media/3516/download?attachment,https://www.adama.com/spain/es/nuestras-soluciones/control-de-enfermedades/vinergy,L30117_04-VINERGY (5) SPECIMEN.pdf,NÃO SEI,200,DOWNLOADED,application/pdf,1085900,022692db605fbeef94b7a487661db1d79014ab597db5e1bb8a894c8e35c95213,raw/ES/adama-website/ADAMA-ES-7e08f308a5f7/022692db605fbeef-L30117_04-VINERGY (5) SPECIMEN.pdf,2026-08-30T03:19:24Z,EXTENSAO_NO_TITLE
DOC-ES-d9378333dd4d,ADAMA-ES-7e08f308a5f7,VINERGY,SDS,"TEXTO_DO_LINK casou ""FDS""",https://www.adama.com/spain/es/media/3531/download?attachment,https://www.adama.com/spain/es/nuestras-soluciones/control-de-enfermedades/vinergy,VINERGY FDS.pdf,NÃO SEI,200,DOWNLOADED,application/pdf,123804,f2036ab86fe9551d842b021450cebcbd58e0b5200e896d813bcc4db1e10c73a2,raw/ES/adama-website/ADAMA-ES-7e08f308a5f7/f2036ab86fe9551d-VINERGY FDS.pdf,2026-08-30T03:19:24Z,EXTENSAO_NO_TITLE
DOC-ES-6db2c4a0d4b8,ADAMA-ES-7e08f308a5f7,VINERGY,BROCHURE,"TEXTO_DO_LINK casou ""Tríptico""",https://www.adama.com/spain/es/media/3521/download?attachment,https://www.adama.com/spain/es/nuestras-soluciones/control-de-enfermedades/vinergy,VINERGY Tríptico BR por páginas.pdf,NÃO SEI,200,DOWNLOADED,application/pdf,1680181,3b1f8916aacf50ab58920d50a32e2b4e0f1a44035ac5bb52f0279c2eb4f3c602,raw/ES/adama-website/ADAMA-ES-7e08f308a5f7/3b1f8916aacf50ab-VINERGY Tríptico BR por páginas.pdf,2026-08-30T03:19:24Z,EXTENSAO_NO_TITLE
